Date,Price
2011-05-31,114.98904761904762
2011-06-30,113.83318181818181
2011-07-31,116.97349999999999
2011-08-31,110.21954545454545
2011-09-30,112.83380952380953
2011-10-31,109.55000000000001
2011-11-30,110.76809523809524
2011-12-31,107.87049999999999
2012-01-31,110.68599999999999
2012-02-29,119.327
2012-03-31,125.44545454545455
2012-04-30,119.42166666666668
2012-05-31,110.33952380952381
2012-06-30,95.15571428571428
2012-07-31,102.61857142857141
2012-08-31,113.35608695652174
2012-09-30,112.8636842105263
2012-10-31,111.7108695652174
2012-11-30,109.05857142857143
2012-12-31,109.494
2013-01-31,112.96
2013-02-28,116.05052631578947
2013-03-31,108.474
2013-04-30,102.24818181818182
2013-05-31,102.55863636363637
2013-06-30,102.9195
2013-07-31,107.93318181818182
2013-08-31,111.28045454545455
2013-09-30,111.59649999999999
2013-10-31,109.07652173913044
2013-11-30,107.792
2013-12-31,110.75666666666666
2014-01-31,108.11772727272728
2014-02-28,108.90052631578948
2014-03-31,107.48095238095237
2014-04-30,107.7552380952381
2014-05-31,109.53909090909092
2014-06-30,111.79523809523809
2014-07-31,106.76818181818182
2014-08-31,101.60809523809523
2014-09-30,97.09142857142858
2014-10-31,87.42521739130434
2014-11-30,79.4378947368421
2014-12-31,62.33500000000001
2015-01-31,47.7595
2015-02-28,58.0955
2015-03-31,55.88545454545454
2015-04-30,59.52428571428571
2015-05-31,64.075
2015-06-30,61.47772727272727
2015-07-31,56.56130434782609
2015-08-31,46.515
2015-09-30,47.62318181818182
2015-10-31,48.43
2015-11-30,44.26761904761905
2015-12-31,38.00545454545455
2016-01-31,30.6995
2016-02-29,32.1815
2016-03-31,38.210454545454546
2016-04-30,41.583333333333336
2016-05-31,46.742380952380955
2016-06-30,48.24727272727273
2016-07-31,44.951904761904764
2016-08-31,45.843043478260874
2016-09-30,46.567727272727275
2016-10-31,49.522380952380956
2016-11-30,44.73409090909091
2016-12-31,53.3085
2017-01-31,54.57666666666666
2017-02-28,54.8695
2017-03-31,51.589130434782604
2017-04-30,52.30789473684211
2017-05-31,50.326521739130435
2017-06-30,46.36818181818182
2017-07-31,48.47857142857143
2017-08-31,51.70434782608696
2017-09-30,56.152857142857144
2017-10-31,57.50772727272727
2017-11-30,62.71409090909091
2017-12-31,64.3736842105263
2018-01-31,69.07727272727273
2018-02-28,65.3175
2018-03-31,66.01666666666667
2018-04-30,72.10600000000001
2018-05-31,76.9752380952381
2018-06-30,74.4047619047619
2018-07-31,74.2540909090909
2018-08-31,72.52826086956522
2018-09-30,78.89099999999999
2018-10-31,81.03217391304348
2018-11-30,64.74818181818182
2018-12-31,57.36235294117647
2019-01-31,59.40954545454545
2019-02-28,63.9605
2019-03-31,66.13857142857144
2019-04-30,71.23333333333333
2019-05-31,71.31772727272727
2019-06-30,64.2205
2019-07-31,63.9191304347826
2019-08-31,59.041818181818186
2019-09-30,62.826666666666675
2019-10-31,59.71304347826087
2019-11-30,63.21190476190476
2019-12-31,67.31
2020-01-31,63.82478260869566
2020-02-29,55.702
2020-03-31,32.47
2020-04-30,18.3785
2020-05-31,29.378947368421056
2020-06-30,40.26681818181818
2020-07-31,43.24217391304348
2020-08-31,44.736000000000004
2020-09-30,40.90954545454545
2020-10-31,40.18954545454546
2020-11-30,42.69238095238095
2020-12-31,49.99363636363637
2021-01-31,54.774
